ID,Label,Price,Vendor ID
bd0e77c5-87ec-41d1-ad91-5b490ea236e6,Kendall Gold Chainmail One-Shoulder Backless Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
736f6712-66c4-4691-b817-b93a212454b4,Sharla White 3D Flowers Crop Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
67698814-71a0-41f9-b920-e52cb4a5e14e,Louise Yellow Puff Sleeve Crop Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
4ec91535-de41-4551-905f-ea1346a72a44,Darcy Butter Yellow Georgette Crop Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
8fe88514-315e-4537-8040-b55662beb86d,Myrtle White Puff Sleeves Corset Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
961e21d4-0d59-4ae8-a488-355b58fc2deb,Ruhiya White Embroidered Georgette Corset Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
514d56c4-a03a-48b7-bd86-b7ea1581db42,Bellita Seafoam Green Schiffli Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
f7f8c2e8-1879-4bc2-b0f4-a62810bcd771,Dovie White Schiffli Crop Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
366c3a61-4206-476f-aa3d-b0af9123278f,Aasiyah and Allami White 3-D Floral Sharara Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
e8e27868-d97e-4ff2-bdf5-9e800d1af570,Noir Black Floral Print Jacquard Corset Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6ca3b9fd-4530-4943-8bee-fd06fb88959d,Gale Baby Pink Stretch Satin Corset Coord Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
9e087f07-0c19-4a5a-8608-2afb363d38cd,Renee Blue Feather Blazer Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
39d53b9c-fc55-4f78-806b-7662fcce08d2,Nadira White Pearl Hand-Embroidered Sharara Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
39953195-cd70-4cfb-9f99-cf0a552e6771,Anaisha Pink Ombre Embroidered Lehenga Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
31078d25-e3cd-42ac-95fe-b6335c65401d,Kimaya Sapphire Hand-Embroidered Lehenga Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
103df04a-5f04-4554-bd0d-81e59a9dd61c,Cassidy Black Corset Belt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7d30f5b0-34ce-4e3a-97b7-8b8dcb143602,Genevia Pink Cloud Print Bralette Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
61ab005b-58d8-419a-89e8-0412fb3474d9,Carina Black Textured Mesh Coord Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
787c55c5-0e8c-4509-bf0e-f9039fd6cad0,Antonina Mauve Heart Shape Corset and Skirt Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
